source,source_listing_id,url,parsed_at,link_collected_at,price_rub,price_m2_rub,lat,lon,region,okrug,settlement,street,address,rooms,is_studio,total_area_m2,kitchen_area_m2,living_area_m2,kitchen_area_share,living_area_share,floor,floors_total,floor_ratio,floor_group,is_first_floor,is_last_floor,house_year,house_age,is_new_building_year,ceiling_height_m,house_type,property_format,housing_market,housing_class,housing_class_rank,heating_type,overlap_type,gas_supply_type,redevelopment_status,ownership_share_fraction,is_share_sale,repair_type,finish_type,finish_rank,sale_type,bathroom_type,bathroom_combined_count,bathroom_separate_count,bathroom_total_count,passenger_elevator_count,freight_elevator_count,elevator_total_count,has_elevator,metro_min_listed,metro_count_listed,mkad_distance_km,balcony_count,loggia_count,balcony_loggia_type,is_apartment_format,is_penthouse_format,has_balcony,has_loggia,windows_yard,windows_street,windows_park_or_forest,windows_water,windows_sunny,windows_panoramic,windows_two_sides,windows_quiet,windows_view_count,parking_underground,parking_surface,parking_multilevel,parking_yard,parking_open_yard,parking_barrier,parking_guest,yard_closed,yard_playground,yard_sportground,yard_no_cars,yard_barrier,has_furniture,has_kitchen_furniture,has_wardrobe_storage,has_sleeping_places,furniture_set,has_fridge,has_washer,has_dishwasher,has_ac,has_water_heater,has_oven,has_cooktop,has_hood,has_appliances,appliances_set,mortgage_possible,one_owner,no_encumbrance,quick_deal,has_warm_floor,is_emergency_house,has_ramp,has_minor_owners,maternity_capital_used,has_garbage_chute,has_concierge,entrance_clean,entrance_needs_repair,has_security,has_storage_room,has_mall_nearby_text,has_park_nearby_text,has_school_nearby_text,has_kindergarten_nearby_text,description_len_chars,description_len_words,repair_source,finish_source,house_type_source,ceiling_height_source,osm_metro_count_1000m,osm_metro_nearest_1000m,has_metro_1000m,osm_park_count_1000m,osm_park_nearest_1000m,has_park_1000m,osm_school_count_1000m,osm_school_nearest_1000m,has_school_1000m,osm_kindergarten_count_1000m,osm_kindergarten_nearest_1000m,has_kindergarten_1000m,osm_hospital_clinic_count_1000m,osm_hospital_clinic_nearest_1000m,has_hospital_clinic_1000m,osm_pharmacy_count_1000m,osm_pharmacy_nearest_1000m,has_pharmacy_1000m,osm_supermarket_count_1000m,osm_supermarket_nearest_1000m,has_supermarket_1000m,osm_public_transport_stop_count_1000m,osm_public_transport_stop_nearest_1000m,has_public_transport_stop_1000m,osm_cafe_restaurant_count_1000m,osm_cafe_restaurant_nearest_1000m,has_cafe_restaurant_1000m,osm_fitness_sport_count_1000m,osm_fitness_sport_nearest_1000m,has_fitness_sport_1000m,osm_total_poi_count_1000m,infrastructure_score_1000m,log1p_osm_metro_count_1000m,log1p_osm_park_count_1000m,log1p_osm_school_count_1000m,log1p_osm_kindergarten_count_1000m,log1p_osm_hospital_clinic_count_1000m,log1p_osm_pharmacy_count_1000m,log1p_osm_supermarket_count_1000m,log1p_osm_public_transport_stop_count_1000m,log1p_osm_cafe_restaurant_count_1000m,log1p_osm_fitness_sport_count_1000m,log1p_osm_total_poi_count_1000m,osm_features_available,osm_radius_m
avito,8091129956,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k._kvartira_376_m_412_et._8091129956?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA,2026-06-06 13:13:07,2026-06-06 11:30:06,6135245.0,163171.0,55.89999,37.2542,,,,,"д. Юрлово, д. 5",1.0,0,37.6,,18.4,,0.4893617021276595,4.0,12.0,0.3333333333333333,middle,0,0,,,0,2.8,monolith,flat,new_building,unknown,,unknown,unknown,unknown,unknown,,0,unknown,no_finish,0.0,ddu,unknown,0,0,0,1,0,1,1,,0,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,64,missing,existing,existing,existing,0.0,,0.0,12.0,370.5,1.0,0.0,,0.0,1.0,456.1,1.0,0.0,,0.0,0.0,,0.0,5.0,593.1,1.0,5.0,571.0,1.0,10.0,562.8,1.0,1.0,953.4,1.0,34.0,35.0,0.0,2.5649493574615367,0.0,0.6931471805599453,0.0,0.0,1.791759469228055,1.791759469228055,2.3978952727983707,0.6931471805599453,3.555348061489413,1,1000.0
avito,7938435684,https://www.avito.ru/aprelevka/kvartiry/1-k._kvartira_358_m_13_et._7938435684?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA,2026-06-06 13:13:23,2026-06-06 11:30:06,7625453.0,213001.0,55.51879,37.07037,,,,,"д. Мартемьяново, стр. 2",1.0,0,35.8,,13.5,,0.3770949720670391,1.0,3.0,0.3333333333333333,first,1,0,,,0,3.1,brick,flat,new_building,comfort,2.0,central,unknown,unknown,unknown,,0,unknown,no_finish,0.0,ddu,mixed,1,1,2,0,0,0,0,4.0,0,27.0,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2322,326,missing,existing,existing,existing,0.0,,0.0,9.0,539.3,1.0,1.0,394.6,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,554.5,1.0,1.0,556.1,1.0,0.0,,0.0,0.0,,0.0,13.0,22.0,0.0,2.302585092994046,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098,0.6931471805599453,0.0,0.0,2.6390573296152584,1,1000.0
avito,8097533305,https://www.avito.ru/vidnoe/kvartiry/1-k._kvartira_34_m_1124_et._8097533305?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA,2026-06-06 13:13:36,2026-06-06 11:30:06,11917136.0,350504.0,55.56632,37.68656,,,,,"ул. Старо-Нагорная, д. 31",1.0,0,34.0,8.9,11.9,0.26176470588235295,0.35000000000000003,11.0,24.0,0.4583333333333333,middle,0,0,,,0,2.8,panel,flat,unknown,comfort,2.0,unknown,unknown,unknown,unknown,,0,unknown,finished,3.0,dkp,combined,1,0,1,1,1,2,1,,0,1.0,0.0,1.0,loggia,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,839,126,missing,existing,existing,existing,0.0,,0.0,17.0,492.7,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,235.3,1.0,4.0,231.3,1.0,4.0,121.5,1.0,6.0,195.4,1.0,1.0,233.3,1.0,33.0,42.5,0.0,2.8903717578961645,0.0,0.0,0.0,0.6931471805599453,1.6094379124341005,1.6094379124341005,1.9459101490553128,0.6931471805599453,3.5263605246161616,1,1000.0
avito,7969792284,https://www.avito.ru/moskovskaya_oblast_moskovskiy/kvartiry/1-k._kvartira_349_m_314_et._7969792284?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA,2026-06-06 13:13:52,2026-06-06 11:30:06,13408649.0,384202.0,55.60552,37.41724,,,,,"п. Сосенское, стр. 57",1.0,0,34.9,13.2,10.2,0.37822349570200575,0.2922636103151862,3.0,14.0,0.21428571428571427,low,0,0,,,0,2.6,monolith,flat,new_building,unknown,,central,unknown,unknown,exists,,0,unknown,prefinish,2.0,ddu,combined,1,0,1,1,1,2,1,13.0,3,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2423,346,missing,existing,existing,existing,6.0,684.0,1.0,7.0,181.8,1.0,4.0,153.7,1.0,4.0,93.2,1.0,1.0,610.7,1.0,8.0,208.4,1.0,3.0,496.8,1.0,14.0,342.5,1.0,3.0,250.7,1.0,0.0,,0.0,49.0,68.0,1.9459101490553128,2.079441541679836,1.6094379124341005,1.6094379124341005,0.6931471805599453,2.19722457733622,1.3862943611198906,2.70805020110221,1.3862943611198906,0.0,3.912023005428146,1,1000.0
avito,7746214763,https://www.avito.ru/aprelevka/kvartiry/1-k._kvartira_324_m_25_et._7746214763?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA,2026-06-06 13:14:10,2026-06-06 11:30:06,5990000.0,184877.0,55.52786,37.04111,,,,,"ул. Парк Апрель, стр. 2",1.0,0,32.4,,14.1,,0.4351851851851852,2.0,5.0,0.4,middle,0,0,,,0,,brick,flat,unknown,comfort,2.0,central,unknown,unknown,unknown,,0,unknown,no_finish,0.0,ddu,mixed,1,1,2,1,1,2,1,31.0,1,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1980,290,missing,existing,existing,missing,0.0,,0.0,22.0,221.3,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,738.4,1.0,4.0,871.7,1.0,3.0,712.8,1.0,0.0,,0.0,32.0,51.0,0.0,3.1354942159291497,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341005,1.3862943611198906,0.0,3.49650756146648,1,1000.0
avito,8094396398,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k._kvartira_343_m_1314_et._8094396398?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA,2026-06-06 13:14:26,2026-06-06 11:30:06,7719750.0,225066.0,55.82056,37.21042,,,,,"ул. Береговая, стр. 1.1",1.0,0,34.3,12.0,14.0,0.34985422740524785,0.40816326530612246,13.0,14.0,0.9285714285714286,high,0,0,,,0,,monolith,flat,new_building,unknown,,unknown,unknown,unknown,unknown,,0,unknown,no_finish,0.0,ddu,unknown,0,0,0,0,0,0,0,31.0,3,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,19,missing,existing,existing,missing,0.0,,0.0,9.0,299.0,1.0,1.0,817.5,1.0,2.0,578.3,1.0,0.0,,0.0,0.0,,0.0,5.0,464.1,1.0,4.0,328.2,1.0,0.0,,0.0,0.0,,0.0,21.0,30.0,0.0,2.302585092994046,0.6931471805599453,1.0986122886681098,0.0,0.0,1.791759469228055,1.6094379124341005,0.0,0.0,3.091042453358316,1,1000.0
avito,8129292386,https://www.avito.ru/moskovskaya_oblast_moskovskiy/kvartiry/1-k._kvartira_39_m_916_et._8129292386?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA,2026-06-06 13:14:43,2026-06-06 11:30:06,11044800.0,283200.0,55.56792,37.29124,,,,,"пос. Филимонковское, ул. ОАО Марьинская птицефабрика, корп. 2.1.6",1.0,0,39.0,14.7,10.4,0.3769230769230769,0.26666666666666666,9.0,16.0,0.5625,middle,0,0,,,0,2.6,panel,flat,new_building,unknown,,unknown,unknown,unknown,unknown,,0,unknown,finished,3.0,ddu,combined,1,0,1,1,1,2,1,,1,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1234,178,missing,existing,existing,existing,0.0,,0.0,10.0,91.4,1.0,2.0,234.2,1.0,1.0,654.3,1.0,0.0,,0.0,3.0,244.0,1.0,8.0,281.3,1.0,11.0,118.9,1.0,4.0,270.1,1.0,0.0,,0.0,39.0,43.5,0.0,2.3978952727983707,1.0986122886681098,0.6931471805599453,0.0,1.3862943611198906,2.19722457733622,2.4849066497880004,1.6094379124341005,0.0,3.688879454113936,1,1000.0
avito,4898204477,https://www.avito.ru/vidnoe/kvartiry/1-k._kvartira_422_m_217_et._4898204477?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiZ3M3a3JyeWdvN2M5dDR0aTFhOThreG9iOXBtbHljYiI7ffQkg12IAAAA,2026-06-06 13:14:57,2026-06-06 11:30:06,7955037.0,188508.0,55.53213,37.61686,,,,,"с/п Булатниковское, рп Боброво, ул. Лесная, д. 22, корп. 2",1.0,0,42.2,8.8,16.8,0.2085308056872038,0.3981042654028436,2.0,17.0,0.11764705882352941,low,0,0,,,0,2.7,monolith,flat,unknown,unknown,,gas,unknown,unknown,unknown,,0,unknown,no_finish,0.0,unknown,combined,1,0,1,1,0,1,1,31.0,1,5.0,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,973,140,missing,existing,existing,existing,0.0,,0.0,11.0,412.9,1.0,2.0,220.4,1.0,3.0,351.2,1.0,2.0,379.5,1.0,9.0,275.5,1.0,13.0,201.8,1.0,10.0,256.2,1.0,9.0,162.3,1.0,0.0,,0.0,59.0,56.5,0.0,2.4849066497880004,1.0986122886681098,1.3862943611198906,1.0986122886681098,2.302585092994046,2.6390573296152584,2.3978952727983707,2.302585092994046,0.0,4.0943445622221,1,1000.0
avito,7950630939,https://www.avito.ru/kokoshkino/kvartiry/1-k._kvartira_401_m_1419_et._7950630939?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiZ3M3a3JyeWdvN2M5dDR0aTFhOThreG9iOXBtbHljYiI7ffQkg12IAAAA,2026-06-06 13:15:15,2026-06-06 11:30:06,8200000.0,204489.0,55.59435,37.20972,,,,,"дер. Марушкино, стр. 2",1.0,0,40.1,11.5,17.0,0.286783042394015,0.4239401496259351,14.0,19.0,0.7368421052631579,high,0,0,,,0,,monolith_brick,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,unknown,prefinish,2.0,ddu,combined,1,0,1,1,1,2,1,25.5,2,,0.0,1.0,loggia,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1623,231,missing,existing,existing,missing,0.0,,0.0,38.0,141.3,1.0,1.0,163.7,1.0,1.0,481.1,1.0,1.0,177.1,1.0,2.0,157.5,1.0,2.0,146.0,1.0,10.0,170.6,1.0,1.0,788.4,1.0,1.0,544.9,1.0,57.0,92.0,0.0,3.6635616461296463,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,2.3978952727983707,0.6931471805599453,0.6931471805599453,4.060443010546419,1,1000.0
avito,8090966495,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k._kvartira_347_m_1924_et._8090966495?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiZ3M3a3JyeWdvN2M5dDR0aTFhOThreG9iOXBtbHljYiI7ffQkg12IAAAA,2026-06-06 13:15:29,2026-06-06 11:30:06,17248103.0,497063.0,55.80633,37.3826,,,,,"д. Мякинино, стр. 3",1.0,0,34.7,,20.5,,0.5907780979827089,19.0,24.0,0.7916666666666666,high,0,0,,,0,2.9,monolith,flat,new_building,unknown,,electric,unknown,unknown,unknown,,0,designer,finished,3.0,ddu,unknown,0,0,0,1,1,2,1,25.5,3,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,sleeping,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1589,225,description,existing,existing,existing,0.0,,0.0,19.0,564.6,1.0,4.0,787.4,1.0,3.0,786.8,1.0,9.0,558.1,1.0,11.0,405.1,1.0,14.0,481.8,1.0,46.0,316.2,1.0,21.0,381.8,1.0,5.0,618.6,1.0,132.0,119.5,0.0,2.995732273553991,1.6094379124341005,1.3862943611198906,2.302585092994046,2.4849066497880004,2.70805020110221,3.8501476017100575,3.091042453358316,1.791759469228055,4.890349128221754,1,1000.0
