"source";"segment";"segment_url";"checkbox_label";"checkbox_value";"checkbox_marker";"page_number";"position_on_page";"listing_id";"url";"title_from_listing";"price_from_listing";"price_from_listing_num";"address_from_listing";"description_from_listing";"status";"run_marker";"collected_at";"parsed_at";"error"
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"1";"4898204477";"https://www.avito.ru/vidnoe/kvartiry/1-k._kvartira_422_m_217_et._4898204477?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 42,2 м², 2/17 эт.";"7 955 037 ₽";"7955037";"с/п Булатниковское, рп Боброво, ул. Лесная, д. 22, корп. 2 Видное";"В Ленинский район Московской области продаётся 1-комнатная квартира квартира площадью 42.2 на 2 этаже 17 этажного дома (корпус 28, секция 3) в проекте ПИК «Восточное Бутово». Удобное расположение. 20 минут на автомобиле до станций метро и Мцд «Бульвар Дм";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:12:49";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"2";"8091129956";"https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k._kvartira_376_m_412_et._8091129956?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 37,6 м², 4/12 эт.";"6 135 245 ₽";"6135245";"Д. Юрлово, д. 5 Красногорск";"Продается однокомнатная квартира № 464 в новостройке ЖК «Большое Юрлово» по адресу Московская область, Химки городской округ, Юрлово деревня, ЖК Большое Юрлово, 5. Общая площадь квартиры — 37.64 кв. М., этаж 4 из 12, секция 9. Тип проекта, по которому пост";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:13:07";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"3";"7938435684";"https://www.avito.ru/aprelevka/kvartiry/1-k._kvartira_358_m_13_et._7938435684?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 35,8 м², 1/3 эт.";"7 625 453 ₽";"7625453";"Д. Мартемьяново, стр. 2 Апрелевка";"Прямая продажа от застройщика! Жилой Комплекс класса Комфорт. Продаётся 1-к квартира №71 общей площадью 35.79 кв. М на 1-м этаже 3 этажного дома. Без отделки. Расположение комплекса: «Мартемьяново Клаб» — клубный поселок таунхаусов от Фск в Наро-Фоминском";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:13:23";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"4";"8097533305";"https://www.avito.ru/vidnoe/kvartiry/1-k._kvartira_34_m_1124_et._8097533305?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 34 м², 11/24 эт.";"11 917 136 ₽";"11917136";"ул. Старо-Нагорная, д. 31 Видное";"Номер квартиры: 576. Этаж: 11. Площадь: 34.00. Корпус: Корпус 1.2. Все лучшее, все прекрасное в жизни можно описать словом сад. Оно вобрало в себя то, что ценно для каждого: мечты о своем доме, о счастье, о семье, о пространстве, где особенно чувствуетс";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:13:36";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"5";"7969792284";"https://www.avito.ru/moskovskaya_oblast_moskovskiy/kvartiry/1-k._kvartira_349_m_314_et._7969792284?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 34,9 м², 3/14 эт.";"13 408 649 ₽";"13408649";"П. Сосенское, стр. 57 Московский";"Продаётся 1-комн. Квартира площадью 34.90 кв. М на 3 этаже 14 этажного дома (Корпус 57.5, секция 5) проекта ПИК Саларьево парк. Светлый просторный подъезд на уровне земли, функциональная планировка, большие окна, с отделкой. Жилой район «Саларьево парк» р";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:13:52";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"6";"7746214763";"https://www.avito.ru/aprelevka/kvartiry/1-k._kvartira_324_m_25_et._7746214763?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 32,4 м², 2/5 эт.";"5 990 000 ₽";"5990000";"Ул. Парк Апрель, стр. 2 Апрелевка";"Прямая продажа от застройщика! Загородный жилой комплекс класса Комфорт Плюс. Продаётся 1-к квартира №110 общей площадью 32.4 кв. М на 2-м этаже 5 этажного дома. Без отделки. Расположение комплекса: «Апрелевка Клаб» — это жилой комплекс всего в 30 км от М";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:14:10";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"7";"8094396398";"https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k._kvartira_343_m_1314_et._8094396398?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 34,3 м², 13/14 эт.";"7 719 750 ₽";"7719750";"Ул. Береговая, стр. 1.1 Красногорск";"Квартира Объект собственности #52084. Продается 1-к квартира. На 13-м этаже 14-этажного. Нового дома в корпусе 1.1 в ЖК «Аникеевский».";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:14:26";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"8";"8129292386";"https://www.avito.ru/moskovskaya_oblast_moskovskiy/kvartiry/1-k._kvartira_39_m_916_et._8129292386?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWZjJHWWd0WVJ5bjE5SEZVIjt9phw7iT8AAAA";"1-к. квартира, 39 м², 9/16 эт.";"11 044 800 ₽";"11044800";"Пос. Филимонковское, ул. ОАО Марьинская птицефабрика, корп. 2.1.6 Московский";"В Новой Москве продаётся 1-комнатная квартира квартира площадью 39 на 9 этаже 16 этажного дома (корпус, секция) в проекте ПИК «Середневский лес». Удобное расположение: 10–15 минут на автомобиле до станций метро «Аэропорт Внуково» и «Филатов луг». 18 мин";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:14:43";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"9";"4898204477";"https://www.avito.ru/vidnoe/kvartiry/1-k._kvartira_422_m_217_et._4898204477?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiZ3M3a3JyeWdvN2M5dDR0aTFhOThreG9iOXBtbHljYiI7ffQkg12IAAAA";"1-к. квартира, 42,2 м², 2/17 эт.";"7 955 037 ₽";"7955037";"";"В Ленинский район Московской области продаётся 1-комнатная квартира квартира площадью 42.2 на 2 этаже 17 этажного дома (корпус 28, секция 3) в проекте ПИК «Восточное Бутово». Удобное расположение. 20 минут на автомобиле до станций метро и Мцд «Бульвар Дм";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:14:57";""
"avito";"1 комната";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/1-komnatnye-ASgBAgICAkSSA8YQygiAWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkxFejRra243MUlHRTlwc3UiO32_Er2lJgAAAA&localPriority=0";"1 комната";"5696";"params[549]/checkbox/5696";"1";"10";"7950630939";"https://www.avito.ru/kokoshkino/kvartiry/1-k._kvartira_401_m_1419_et._7950630939?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiZ3M3a3JyeWdvN2M5dDR0aTFhOThreG9iOXBtbHljYiI7ffQkg12IAAAA";"1-к. квартира, 40,1 м², 14/19 эт.";"8 200 000 ₽";"8200000";"";"Продаётся однокомнатная квартира 40,14 м² в д. Марушкино (Новая Москва). Уютная квартира с видом на парк в современном кирпично-монолитном доме. Просторная кухня 11,45 м² и изолированная комната 17 м². Дом на этапе строительства — отличная инвестиция или";"done";"";"2026-06-06 11:30:06";"2026-06-06 13:15:15";""
