"source";"record_id";"listing_id";"canonical_url";"url";"segment";"segment_url";"quicklink_count";"page_number";"position_on_page";"status";"run_marker";"collected_at";"parsed_at";"error"
"cian";"cian_326671756";"326671756";"https://www.cian.ru/sale/flat/326671756/";"https://khimki.cian.ru/sale/flat/326671756/?context=4.9sLWbY8fKAw.uvhA7PW2ijRL3qil43ZSUxStUIl_jXZv1J1YF7-RrXuSJDiBp9tg7-egqEfPs18dlMWNQxSPjRdP-Q&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"1";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:10:36";""
"cian";"cian_327224028";"327224028";"https://www.cian.ru/sale/flat/327224028/";"https://zvenigorod.cian.ru/sale/flat/327224028/?context=4.9OIly2yUHVY.CdZOHo0Ij6CBTBVLyRBcJoR0_9URqFsaUtP7DpjWjVP14v-0PbtybJr4cBPwy4wMJx4TIuMfcVUQGg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"2";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:10:50";""
"cian";"cian_326735367";"326735367";"https://www.cian.ru/sale/flat/326735367/";"https://mytishchi.cian.ru/sale/flat/326735367/?context=4.B8RABcEkEMg.IargYH3SmVG1iL0Oxg0YkX3K5RUyGwcQ7muWPDgXmgP4_AHtC02bj9ITLvSSDQQBrLDq1yi3l2_GhQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"3";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:11:03";""
"cian";"cian_329555343";"329555343";"https://www.cian.ru/sale/flat/329555343/";"https://balashikha.cian.ru/sale/flat/329555343/?context=4.PFDs6RKuC0c.SFq8DQYON9LiGVylLh6tBVp8bs5QQ4x6FYFLY4I4265opxbMGuKPJYnfNGgFp-PyqffY2D01ceZ4DQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"4";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:11:15";""
"cian";"cian_329903791";"329903791";"https://www.cian.ru/sale/flat/329903791/";"https://krasnogorsk.cian.ru/sale/flat/329903791/?context=4.mFbk0-FyYC8.phdhwKzUoCbKwYM4nvhevIZ2GRhiL0I7x2CwkAeJirhZFo_adNBzJYQv6G5zGmjZa7C7WIdKv0IPCQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"5";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:11:29";""
"cian";"cian_330348571";"330348571";"https://www.cian.ru/sale/flat/330348571/";"https://reutov.cian.ru/sale/flat/330348571/?context=4.FBrE0uMztn8.hikp6rVPy0t03AnsTYPVEhUzPm-vavMUajROcgUbkTR54JAtdr7jlo8bmXO8YYhUwOW4CRchbK9uHQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"6";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:11:43";""
"cian";"cian_328550325";"328550325";"https://www.cian.ru/sale/flat/328550325/";"https://odintsovo.cian.ru/sale/flat/328550325/?context=4.L1v9DDyaPNc.cQHJ3ti9XFNmehgPMX1Aeg-WgTT8-b-ztNw-EvwYv5G_0PLNt9DyflPDWQj1yydXvYHMTv38SXZzEg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"7";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:11:56";""
"cian";"cian_331029257";"331029257";"https://www.cian.ru/sale/flat/331029257/";"https://www.cian.ru/sale/flat/331029257/?context=4.AxSn_56RxDQ.4EKT7iG1vzq7bcOG1z19d_JzAu7E4TQ2K0Q9ev2kXaDi9snUiBtlrgtEGwh_lTE88XgoYpqCbkQ5Ew&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"8";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:12:10";""
"cian";"cian_330619337";"330619337";"https://www.cian.ru/sale/flat/330619337/";"https://balashikha.cian.ru/sale/flat/330619337/?context=4.8MMDteGyzgc.AV8BvAa3JDaFSGRfA6gxKwYRToRGNS8GoLuWg9uhLLx6pH5paOPe31v-tE9f1zypIx6LoUWs-p7TWQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"9";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:12:25";""
"cian";"cian_329565535";"329565535";"https://www.cian.ru/sale/flat/329565535/";"https://krasnogorsk.cian.ru/sale/flat/329565535/?context=4.mXlPks4vFA8.XVk-5o2leKdXP8w1NEwmIq_-sdDej1yDlV2V4hDH6UyJDYfNVcP7Xo36_Zj-sVyR5Bgjj46zt3HRig&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"10";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:12:38";""
