"ID";"Ссылка";"Сегмент комнатности";"URL сегмента";"Количество в QuickLinks";"Общая площадь";"Жилая площадь";"Площадь кухни";"Этаж";"Год сдачи";"Дом";"Отделка";"Тип жилья";"Высота потолков";"Количество лифтов";"Тип дома";"Цена";"Цена числом";"Цена за м²";"Цена за м² числом";"Условия сделки";"Полный адрес";"Регион";"Округ";"Населенный пункт";"Улица";"Шоссе";"Метро";"Широта";"Долгота";"Геопозиция";"Источник геопозиции";"source";"record_id";"source_listing_id";"canonical_url";"source_segment";"listing_page_number";"listing_position_on_page";"link_collected_at";"parsed_at";"Год постройки";"Ремонт";"Продаётся с мебелью";"Тип перекрытий";"Подъезды";"Парковка";"Отопление";"Аварийность";"Вид из окон";"Пандус";"Санузел";"Балкон/лоджия";"Строительная серия";"Газоснабжение";"Перепланировка";"Несовершеннолетние собственники";"Материнский капитал при покупке";"О подъезде";"Придомовая территория";"Размер доли";"Описание"
"326671756";"https://khimki.cian.ru/sale/flat/326671756/?context=4.9sLWbY8fKAw.uvhA7PW2ijRL3qil43ZSUxStUIl_jXZv1J1YF7-RrXuSJDiBp9tg7-egqEfPs18dlMWNQxSPjRdP-Q&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"30,8 м²";"16,9 м²";"5,2 м²";"22 из 28";"2029";"к1";"Без отделки";"Новостройка";"2,85 м";"10 пассажирских";"Монолитно-кирпичный";"8 826 621 ₽";"8826621";"286 579 ₽/м²";"286579";"долевое участие (214-ФЗ)";"Московская область, Химки, мкр. Новые Химки, Лесная Коллекция жилой комплекс, к1";"Московская область";"Химки";"мкр. Новые Химки";"Лесная Коллекция жилой комплекс";"Ленинградское шоссе — 2 км от МКАД; Пятницкое шоссе — 8 км от МКАД";"Планерная (9 мин.); Химки (7 мин.); Сходненская (9 мин.)";"55.8822939";"37.4135872";"55.8822939, 37.4135872";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_326671756";"326671756";"https://www.cian.ru/sale/flat/326671756/";"1 комнатные";"1";"1";"2026-06-13 00:24:23";"2026-06-13 01:10:36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Выгода до 25%. Продажа напрямую от застройщика в жилом комплексе Лесная Коллекция! 1-комнатная квартира на 22-этаже, площадью 30.8-квм. Лесная Коллекция — это продуманный жилой комплекс для тех, кто хочет жить в комфортной городской среде и при этом быть рядом с природой. Удачное расположение, развитая инфраструктура и закрытая территория делают проект удобным для повседневной жизни. Удобная локация и транспорт • Быстрый выезд на Путилковское шоссе • Близость станции метро ""Планерная"" • Три железнодорожные станции рядом: Химки, Левобережная, Ховрино • Более 40 автобусных маршрутов Локация позволяет легко добираться как в центр города, так и в соседние районы. Территория и окружение • Соседство с престижным районом Куркино • Закрытая благоустроенная территория без сквозного движения • Пространства для прогулок и занятий спортом • Двор примыкает к лесному массиву • Архитектура комплекса выдержана в сдержанном, респектабельном стиле • До 70% окон ориентированы на парк Квартиры и планировки • Удобные и функциональные планировочные решения • Формат комфорт-класса по разумной цене • Максимум естественного света за счёт удачного расположения корпусов Инфраструктура внутри комплекса • Детский сад на территории на 140 мест • МФЦ для решения повседневных вопросов • Коммерческие помещения на первых этажах • Магазины, кафе и салоны красоты прямо в доме • Собственный паркинг рядом с домом Всё необходимое рядом • 78 муниципальных и 42 частных детских сада • 40 школ, включая гимназии и лицеи • 6 колледжей и техникумов • 5 вузов поблизости • Крупные торговые центры и рынки в удобной доступности О застройщике Проекты застройщика ""Град Девелопмент"" — это более 600 тыс. кв. м реализованной недвижимости, включая клубные форматы и жильё бизнес-класса. Компания известна качеством строительства и соблюдением сроков."
"327224028";"https://zvenigorod.cian.ru/sale/flat/327224028/?context=4.9OIly2yUHVY.CdZOHo0Ij6CBTBVLyRBcJoR0_9URqFsaUtP7DpjWjVP14v-0PbtybJr4cBPwy4wMJx4TIuMfcVUQGg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"38,9 м²";"18,8 м²";"11,7 м²";"13 из 24";"";"3";"";"Вторичка";"2,6 м";"1 пассажирский, 1 грузовой";"Монолитный";"14 000 000 ₽";"14000000";"359 897 ₽/м²";"359897";"свободная продажа";"Московская область, Одинцовский городской округ, Новоивановское пгт, бул. Эйнштейна, 3";"Московская область";"Одинцовский городской округ";"Новоивановское пгт";"бул. Эйнштейна";"Минское шоссе — 3 км от МКАД; Можайское шоссе — 3 км от МКАД";"Немчиновка (9 мин.); Сколково (16 мин.); Баковка (9 мин.)";"55.7016689";"37.3616025";"55.7016689, 37.3616025";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_327224028";"327224028";"https://www.cian.ru/sale/flat/327224028/";"1 комнатные";"1";"2";"2026-06-13 00:24:23";"2026-06-13 01:10:50";"2021";"Евроремонт";"Да";"Железобетонные";"10";"Наземная";"Центральное";"Нет";"";"";"";"";"";"";"";"";"";"";"";"";"Номер в базе: 11867121. Продается уютная квартира с современной отделкой, мебелью и техникой, готовая к проживанию в монолитном доме 2021 года в ЖК ""Инновация"", 2 км от МКАД, МЦД Сколково 13-15 минут пешком. Квартира на 13 этаже 22-этажного дома, потолки 2,7 м. Квартира ""под ключ"", заезжайте сразу — Современный ремонт из качественных материалов. — Полностью укомплектована мебелью и техникой (холодильник, духовой шкаф, стиральная машины, варочная панель, вытяжка) — Просторная кухня-гостиная 12 м² + отдельная спальня — Возможность функционального зонирования: подходит как для личного проживания, так и для выгодной аренды Локация и транспорт — 2 км от МКАД — 13 - 15 минут пешком до МЦД ""Сколково"" — Автобусы до метро ""Славянский бульвар"" и ""Парк Победы"" — Прямой маршрут до Киевского вокзала — Перспектива открытия станции метро ""Сколтех"" в шаговой доступности Инфраструктура — всё рядом Лицей, детские сады, строится школа на 950 мест, поликлиника, фитнес-клуб, кафе и рестораны, ""ВкусВилл"", ""Пятёрочка"", ТЦ ""Три Кита"", ""Hoff"", пункты Ozon, Яндекс Маркет, СДЭК. В пешей доступности парк ""Сколково"", пруды и Мещёрский лес с пляжной зоной. Рядом Сколковский институт науки и технологий и бизнес-школа. Дом и документы Современный монолитный дом комфорт-класса с пассажирским и грузовым лифтами, наземный и подземный паркинг. Один собственник. Быстрый выход на сделку. Для покупателей: Полная юридическая проверка и сопровождение сделки Безопасные расчёты Помощь в одобрении ипотеки по ставке от 12,99% Финансовая гарантия сделки Идеальный вариант для жизни или инвестиций в перспективной локации рядом со Сколково. Звоните — организую показ в удобное для вас время. Код пользователя: 98615"
"326735367";"https://mytishchi.cian.ru/sale/flat/326735367/?context=4.B8RABcEkEMg.IargYH3SmVG1iL0Oxg0YkX3K5RUyGwcQ7muWPDgXmgP4_AHtC02bj9ITLvSSDQQBrLDq1yi3l2_GhQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"32,7 м²";"14,1 м²";"10,1 м²";"2 из 13";"2027";"";"Без отделки";"Новостройка";"2,8 м";"";"Монолитный";"6 708 042 ₽";"6708042";"205 139 ₽/м²";"205139";"свободная продажа";"Московская область, Мытищи, мкр. 2, 3";"Московская область";"Мытищи";"мкр. 2, 3";"";"Ярославское шоссе — 5 км от МКАД; Осташковское шоссе — 8 км от МКАД";"Медведково (12 мин.); Бабушкинская (14 мин.); Свиблово (16 мин.)";"55.9575449";"37.6838719";"55.9575449, 37.6838719";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_326735367";"326735367";"https://www.cian.ru/sale/flat/326735367/";"1 комнатные";"1";"3";"2026-06-13 00:24:23";"2026-06-13 01:11:03";"";"";"";"";"";"";"";"";"На улицу";"Есть";"";"";"";"";"";"";"";"";"";"";"Продаётся 1-комнатная квартира 836, площадью 32,70 м², на 2 этаже в ЖК ""Императорские Мытищи"" корпус 1.1. Стоимость — от 6708043 руб. Квартира без отделки, планировка односторонняя, окна на улицу."
"329555343";"https://balashikha.cian.ru/sale/flat/329555343/?context=4.PFDs6RKuC0c.SFq8DQYON9LiGVylLh6tBVp8bs5QQ4x6FYFLY4I4265opxbMGuKPJYnfNGgFp-PyqffY2D01ceZ4DQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"31,06 м²";"11,9 м²";"8,4 м²";"2 из 25";"2025";"";"Без отделки";"Новостройка";"";"";"Монолитный";"6 232 429 ₽";"6232429";"200 658 ₽/м²";"200658";"свободная продажа";"Московская область, Балашиха, ул. Яганова, 1";"Московская область";"Балашиха";"ул. Яганова";"1";"Щелковское шоссе — 7 км от МКАД; Горьковское шоссе — 12 км от МКАД";"Щёлковская (14 мин.); Первомайская (16 мин.); Салтыковская (16 мин.)";"55.8359331";"37.9530941";"55.8359331, 37.9530941";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_329555343";"329555343";"https://www.cian.ru/sale/flat/329555343/";"1 комнатные";"1";"4";"2026-06-13 00:24:23";"2026-06-13 01:11:15";"";"";"";"";"";"";"";"";"Во двор";"Есть";"";"";"";"";"";"";"";"";"";"";"Продаётся 1-комнатная квартира 963, площадью 31,06 м², на 2 этаже в ЖК ""Пехра"" корпус 1. Стоимость — от 6232429 руб. Квартира без отделки, планировка односторонняя, окна во двор."
"329903791";"https://krasnogorsk.cian.ru/sale/flat/329903791/?context=4.mFbk0-FyYC8.phdhwKzUoCbKwYM4nvhevIZ2GRhiL0I7x2CwkAeJirhZFo_adNBzJYQv6G5zGmjZa7C7WIdKv0IPCQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"39,5 м²";"18,6 м²";"10,8 м²";"15 из 26";"";"17А";"";"Вторичка";"2,8 м";"";"Монолитный";"13 000 000 ₽";"13000000";"329 114 ₽/м²";"329114";"альтернатива";"Московская область, Красногорск, мкр. Павшино, Вокзальная ул., 17А";"Московская область";"Красногорск";"мкр. Павшино";"Вокзальная ул.";"Волоколамское шоссе — 4 км от МКАД; Ильинское шоссе — 5 км от МКАД";"Павшино (3 мин.); Пенягино (24 мин.); Красногорская (8 мин.)";"55.8139018";"37.3387675";"55.8139018, 37.3387675";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_329903791";"329903791";"https://www.cian.ru/sale/flat/329903791/";"1 комнатные";"1";"5";"2026-06-13 00:24:23";"2026-06-13 01:11:29";"2014";"Евроремонт";"";"Железобетонные";"4";"Наземная";"Индивидуальный тепловой пункт";"Нет";"";"";"1 совмещенный";"1 лоджия";"Индивидуальный проект";"";"";"";"";"";"";"";"ЭКСКЛЮЗИВНОЕ право продажи объекта! КРАТКО о квартире: * ЖК ""Красногорские ключи"" * Панорамный вид * Большая и просторная лоджия! * Солнечная квартира, много света * До остановки ~ 3 минуты пешком * До ж/д станции ""Павшино"" ~ 3 минуты пешком ПОДРОБНЕЕ о квартире: * Продается 1-комнатная квартира. Московская область, Красногорск, мкр. Павшино, Вокзальная ул., 17А. 4 километра от МКАД по Волоколамскому шоссе. * Квартира расположена на 15 этаже 26 этажного монолитного дома, 2014 года постройки. Площадь: общая ~ 39.5 м², жилая ~ 18.6 м², просторная и функциональная кухня ~ 10.8 м², лоджия. В квартире все зоны просторные. Из кухни 10.8 м² выход на большую лоджию с красивым панорамным видом. Лоджия - особенность этой квартиры, на ней хочется находиться. В комнате есть ниша, в которую можно установить кровать или оборудовать мини кабинет. Установлен кондиционер. В коридоре установлен шкаф. Просторный санузел с отделкой плиткой ~ 4.6 м². Чистый и широкий подъезд. Во дворе есть придомовой паркинг. Ухоженная придомовая территория. * В шаговой доступности располагаются: - Остановка общественного транспорта (370 метров); - Благоустроенный двор с детской площадкой; - Детский сад 49 (30 метров); - Гимназия 7 (245 метров); - Поликлиника (1 километр); - Супермаркеты на любой выбор; - Пункты выдачи заказов: Яндекс Маркет, WB, Ozon; - Фитнес-клуб (270 метров); - Салон красоты; - Живописная бухта (1.5 километра). До метро ""Тушинская"" ходят маршрутки 209, 151, 856, а до ""Строгино"" - 85. ПОМОГУ С ИПОТЕКОЙ ЛЮБОЙ СЛОЖНОСТИ!"
"330348571";"https://reutov.cian.ru/sale/flat/330348571/?context=4.FBrE0uMztn8.hikp6rVPy0t03AnsTYPVEhUzPm-vavMUajROcgUbkTR54JAtdr7jlo8bmXO8YYhUwOW4CRchbK9uHQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"28 м²";"18 м²";"5 м²";"2 из 3";"";"7";"";"Вторичка";"3 м";"";"Кирпичный";"7 300 000 ₽";"7300000";"260 714 ₽/м²";"260714";"свободная продажа";"Московская область, Реутов, мкр. Северный Реутов, Новогиреевская ул., 7";"Московская область";"Реутов";"мкр. Северный Реутов";"Новогиреевская ул.";"Носовихинское шоссе — 6 км от МКАД";"Новокосино (18 мин.); Реутов (5 мин.); Новогиреево (9 мин.)";"55.7542215";"37.8527028";"55.7542215, 37.8527028";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_330348571";"330348571";"https://www.cian.ru/sale/flat/330348571/";"1 комнатные";"1";"6";"2026-06-13 00:24:23";"2026-06-13 01:11:43";"1960";"Без ремонта";"";"Железобетонные";"3";"Наземная";"Центральное";"Нет";"";"";"1 совмещенный";"1 балкон";"";"Центральное";"";"";"";"";"";"";"Номер в базе: 12800102. 1-к квартира под ремонт С отличной локацией 5 минут спокойным шагом до МЦД Реутов 17 минут пешком до метро Новокосино. 30 минут и ты уже в центре Москвы - без шуток! Дом — 1960 год, ж/б перекрытия, утопает в зелени, шума дорог не слышно. Малоэтажная застройка 3 этажа. Своя уютная атмосфера. Соседей мало. ДЛЯ КОГО ЭТОТ ВАРИАНТ Реутов- это наукоград, для студента идеально. Для инвестора в аренду: Купить дёшево сделать косметику или капремонт сдавать в локации с отличной транспортной доступностью. Спрос на аренду здесь будет всегда!!! Для того, кто ищет ""базу без переплаты"": Всё равно планировали делать ремонт с нуля. Здесь вы не платите за чужие обои и плитку. Чистый лист. Нужна прописка, свой угол, минимальный бюджет? Это оно. Суперразвитая инфраструктура, транспорт рядом, до Москвы близко, ТЦ, поликлиники, магазины кафе, салоны красоты Ипотеку одобрим, подряд для ремонта предоставим, арендаторов оставим - звоните! Код пользователя: 185330"
"328550325";"https://odintsovo.cian.ru/sale/flat/328550325/?context=4.L1v9DDyaPNc.cQHJ3ti9XFNmehgPMX1Aeg-WgTT8-b-ztNw-EvwYv5G_0PLNt9DyflPDWQj1yydXvYHMTv38SXZzEg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"37,3 м²";"";"";"18 из 24";"2025";"";"Черновая";"Новостройка";"2,8 м";"";"Монолитно-кирпичный";"9 795 629 ₽";"9795629";"262 617 ₽/м²";"262617";"долевое участие (214-ФЗ)";"Московская область, Одинцово, Северная ул., 1";"Московская область";"Одинцово";"Северная ул.";"1";"Минское шоссе — 11 км от МКАД; Северный объезд Одинцова шоссе — 10 км от МКАД";"Рассказовка (19 мин.); Одинцово (6 мин.); Баковка (10 мин.)";"55.6795242";"37.2438944";"55.6795242, 37.2438944";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_328550325";"328550325";"https://www.cian.ru/sale/flat/328550325/";"1 комнатные";"1";"7";"2026-06-13 00:24:23";"2026-06-13 01:11:56";"";"";"";"";"";"Подземная";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Предлагаем вашему вниманию уютную 1-комнатную квартиру общей площадью 37,3 кв.м на 18 этаже в новой очереди строительства ЖК ""Одинбург"". Этот обновленный проект от компании AFI Development включает в себя актуальные архитектурные решения и функциональные планировки. Новый Одинбург - это: • Возможность выбора между квартирами без отделки и с базовой отделкой (White Box). • Высокие потолки 2.8 м (в чистоте). • Просторные кухни-гостиные до 27 кв.м. • Балкон или лоджия в каждой квартире с панорамным остеклением. • Нишы для хранения вещей в прихожей и отдельные гардеробные. • Несколько санузлов для больших семей. • Живописный вид из окон на лес и городские пейзажи. И даже больше, чем комфорт-класс: • Монолитные дома с вентилируемым фасадом и облицовкой из декоративного камня. • Дизайнерская отделка мест общего пользования с мебелью и архитектурная подсветка фасадов. • На первых этажах предусмотрено помещение консьержа 24/7 и колясочная. • Развитая инфраструктура: в шаговой доступности расположено 6 детских садов, школы и лицей, магазины, кафе, салоны красоты и спортивные объекты. • Огороженная территория: двор без машин для безопасного отдыха и прогулок с детьми разных возрастов. • Машиноместа в отапливаемом подземном паркинге с доступом из лифта, в многоуровневом наземном паркинге и гостевые парковочные места. • Транспортная доступность: 7 минут до МЦД Одинцово, 10 минут до МКАД, 17 минут до центра Москвы по трассе М-1. Пространство для жизни: • Безопасность: наличие системы видеонаблюдения обеспечивает спокойствие и защиту вашего жилья. • Природа рядом: комплекс граничит с Подушкинским и Дубковским лесами, что позволяет наслаждаться свежим воздухом. • Большое количество спортивных объектов: ледовый дворец, волейбольный центр, центр горнолыжного спорта и школы Олимпийского резерва РФ и целый спортивный парк имени Героя России Ларисы Лазутиной. • Коммьюнити соседей со схожим образом жизни. Не упустите шанс стать владельцем квартиры в одном из самых перспективных жилых комплексов Подмосковья на выгодных условиях! Звоните прямо сейчас, чтобы узнать подробности и записаться на просмотр."
"331029257";"https://www.cian.ru/sale/flat/331029257/?context=4.AxSn_56RxDQ.4EKT7iG1vzq7bcOG1z19d_JzAu7E4TQ2K0Q9ev2kXaDi9snUiBtlrgtEGwh_lTE88XgoYpqCbkQ5Ew&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"38 м²";"16 м²";"13 м²";"11 из 16";"";"4А";"";"Вторичка";"2,7 м";"1 пассажирский, 1 грузовой";"Монолитный";"4 200 000 ₽";"4200000";"110 526 ₽/м²";"110526";"свободная продажа";"Московская область, Раменский муниципальный округ, Быково пгт, ул. Щорса, 4А";"Московская область";"Раменский муниципальный округ";"Быково пгт";"ул. Щорса";"Новорязанское шоссе — 22 км от МКАД; Новоегорьевское шоссе — 20 км от МКАД";"Быково (5 мин.); Удельная (6 мин.); Ильинская (7 мин.)";"55.6419922";"38.087025";"55.6419922, 38.087025";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_331029257";"331029257";"https://www.cian.ru/sale/flat/331029257/";"1 комнатные";"1";"8";"2026-06-13 00:24:23";"2026-06-13 01:12:10";"2016";"";"Да";"Железобетонные";"4";"";"Центральное";"Нет";"Во двор";"";"1 совмещенный";"1 балкон";"";"";"Не было";"Нет";"Не использовался";"";"";"";"Срочно. Светлая и просторная 38м2 видовая однокомнатная квартира в современном доме в ЖК Эко-квадрат в посёлке Быково. Этаж 11/16. Общая площадь 38м2. Комната 16м2. Кухня 13м2. Санузел совмещенный. Балкон. Окна во двор - красивый вид на лес. Качественный ремонт. Квартира продаётся со всей мебелью и бытовой техникой. Спокойные соседи. Ухоженный подъезд. Добротный монолитный дом 2016 года постройки. Рядом два магазина, становка общественного транспорта. До платформы D3 быково 3-5 мин транспортом и 10-15 мин пешком. Один взрослый собственник, без обременений. Оперативный показ. Звоните, уважаемые покупатели и коллеги."
"330619337";"https://balashikha.cian.ru/sale/flat/330619337/?context=4.8MMDteGyzgc.AV8BvAa3JDaFSGRfA6gxKwYRToRGNS8GoLuWg9uhLLx6pH5paOPe31v-tE9f1zypIx6LoUWs-p7TWQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"20,7 м²";"10,7 м²";"6 м²";"8 из 9";"";"9";"";"Вторичка";"2,6 м";"1 пассажирский";"Кирпичный";"4 850 000 ₽";"4850000";"234 300 ₽/м²";"234300";"свободная продажа";"Московская область, Балашиха, мкр. Балашиха-2, ул. 40 лет Победы, 9";"Московская область";"Балашиха";"мкр. Балашиха-2";"ул. 40 лет Победы";"Щелковское шоссе — 10 км от МКАД; Горьковское шоссе — 11 км от МКАД";"Щёлковская (17 мин.); Салтыковская (14 мин.); Никольское (16 мин.)";"55.8208145";"37.9719007";"55.8208145, 37.9719007";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_330619337";"330619337";"https://www.cian.ru/sale/flat/330619337/";"1 комнатные";"1";"9";"2026-06-13 00:24:23";"2026-06-13 01:12:25";"1984";"Косметический";"Да";"Железобетонные";"1";"Наземная";"Центральное";"Нет";"Во двор";"";"1 совмещенный";"";"";"Центральное";"Не было";"Нет";"Не использовался";"Есть мусоропровод";"";"";"Продается 1-комнатная квартира с отличным видом в кирпичном доме. Надежный кирпичный дом (8/9 этаж). Это значит: тепло зимой, прохладно летом и отличная шумоизоляция. Район с развитой внутренней инфраструктурой. Всё необходимое (магазины, транспорт, парки) в шаговой доступности. Рядом расположены детские сады и школа в шаговой доступности. Также рядом расположен живописное, чистое озеро в котором можно купаться. Очень много зелёных зон для прогулок. Теплая, очень тихая, готовая к проживанию квартира. Установлен кондиционер. Новые стеклопакеты. В квартире выполнен косметический ремонт , что позволяет сразу заехать и жить. Есть очень удобное, функциональное место для хранения вещей. Идеально для инвестиций: Квартиры с ремонтом в кирпичных домах всегда пользуются высоким спросом у арендаторов. Свободная продажа. Нет обременений и альтернатив. Без использования материнского капитала. 1 взрослый собственник. Больше 5-ти лет в собственности. Подходит под ипотеку. Оперативный показ!"
"329565535";"https://krasnogorsk.cian.ru/sale/flat/329565535/?context=4.mXlPks4vFA8.XVk-5o2leKdXP8w1NEwmIq_-sdDej1yDlV2V4hDH6UyJDYfNVcP7Xo36_Zj-sVyR5Bgjj46zt3HRig&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"34,68 м²";"15,3 м²";"11,4 м²";"2 из 14";"2027";"";"Без отделки";"Новостройка";"2,72 м";"2 пассажирских, 2 грузовых";"Монолитный";"7 077 551 ₽";"7077551";"204 082 ₽/м²";"204082";"свободная продажа";"Московская область, Красногорск, мкр. Опалиха, Аникеевский жилой комплекс";"Московская область";"Красногорск";"мкр. Опалиха";"Аникеевский жилой комплекс";"Волоколамское шоссе — 15 км от МКАД; Новорижское шоссе — 15 км от МКАД";"Аникеевка (21 мин.); Нахабино (11 мин.); Опалиха (11 мин.)";"55.8163553";"37.2121257";"55.8163553, 37.2121257";"network json lat/lng: https://api.cian.ru/infrastructure-caching/v4/get-infrastructure/";"cian";"cian_329565535";"329565535";"https://www.cian.ru/sale/flat/329565535/";"1 комнатные";"1";"10";"2026-06-13 00:24:23";"2026-06-13 01:12:38";"";"";"";"";"";"";"";"";"На улицу";"Есть";"";"";"";"";"";"";"";"";"";"";"Продаётся 1-комнатная квартира 440, площадью 34,68 м², на 2 этаже в ЖК ""Аникеевский"" корпус 1.2. Стоимость — от 7077551 руб. Квартира без отделки, планировка односторонняя, окна на улицу."
