exclude_reason,source,source_listing_id,url,parsed_at,link_collected_at,price_rub,price_m2_rub,lat,lon,region,okrug,settlement,street,address,rooms,is_studio,total_area_m2,kitchen_area_m2,living_area_m2,kitchen_area_share,living_area_share,floor,floors_total,floor_ratio,floor_group,is_first_floor,is_last_floor,house_year,house_age,is_new_building_year,ceiling_height_m,house_type,property_format,housing_market,housing_class,housing_class_rank,heating_type,overlap_type,gas_supply_type,redevelopment_status,ownership_share_fraction,is_share_sale,repair_type,finish_type,finish_rank,sale_type,bathroom_type,bathroom_combined_count,bathroom_separate_count,bathroom_total_count,passenger_elevator_count,freight_elevator_count,elevator_total_count,has_elevator,metro_min_listed,metro_count_listed,mkad_distance_km,balcony_count,loggia_count,balcony_loggia_type,is_apartment_format,is_penthouse_format,has_balcony,has_loggia,windows_yard,windows_street,windows_park_or_forest,windows_water,windows_sunny,windows_panoramic,windows_two_sides,windows_quiet,windows_view_count,parking_underground,parking_surface,parking_multilevel,parking_yard,parking_open_yard,parking_barrier,parking_guest,yard_closed,yard_playground,yard_sportground,yard_no_cars,yard_barrier,has_furniture,has_kitchen_furniture,has_wardrobe_storage,has_sleeping_places,furniture_set,has_fridge,has_washer,has_dishwasher,has_ac,has_water_heater,has_oven,has_cooktop,has_hood,has_appliances,appliances_set,mortgage_possible,one_owner,no_encumbrance,quick_deal,has_warm_floor,is_emergency_house,has_ramp,has_minor_owners,maternity_capital_used,has_garbage_chute,has_concierge,entrance_clean,entrance_needs_repair,has_security,has_storage_room,has_mall_nearby_text,has_park_nearby_text,has_school_nearby_text,has_kindergarten_nearby_text,description_len_chars,description_len_words,repair_source,finish_source,house_type_source,ceiling_height_source,osm_metro_count_1000m,osm_metro_nearest_1000m,has_metro_1000m,osm_park_count_1000m,osm_park_nearest_1000m,has_park_1000m,osm_school_count_1000m,osm_school_nearest_1000m,has_school_1000m,osm_kindergarten_count_1000m,osm_kindergarten_nearest_1000m,has_kindergarten_1000m,osm_hospital_clinic_count_1000m,osm_hospital_clinic_nearest_1000m,has_hospital_clinic_1000m,osm_pharmacy_count_1000m,osm_pharmacy_nearest_1000m,has_pharmacy_1000m,osm_supermarket_count_1000m,osm_supermarket_nearest_1000m,has_supermarket_1000m,osm_public_transport_stop_count_1000m,osm_public_transport_stop_nearest_1000m,has_public_transport_stop_1000m,osm_cafe_restaurant_count_1000m,osm_cafe_restaurant_nearest_1000m,has_cafe_restaurant_1000m,osm_fitness_sport_count_1000m,osm_fitness_sport_nearest_1000m,has_fitness_sport_1000m,osm_total_poi_count_1000m,infrastructure_score_1000m,log1p_osm_metro_count_1000m,log1p_osm_park_count_1000m,log1p_osm_school_count_1000m,log1p_osm_kindergarten_count_1000m,log1p_osm_hospital_clinic_count_1000m,log1p_osm_pharmacy_count_1000m,log1p_osm_supermarket_count_1000m,log1p_osm_public_transport_stop_count_1000m,log1p_osm_cafe_restaurant_count_1000m,log1p_osm_fitness_sport_count_1000m,log1p_osm_total_poi_count_1000m,osm_features_available,osm_radius_m,address_exact,address_zone,residential_complex,building_key,metro_primary,geo_cell_2000m,geo_cell_1000m,geo_cell_500m,geo_cell_200m
missing_total_area; missing_coordinates; coordinates_out_of_bbox,avito,8094416083,https://www.avito.ru/vidnoe/kvartiry/1-k._kvartira_35_m_38_et._8094416083?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtNWJsOHhxQWVnSElDeVFzIjt9ktdG1T8AAAA,2026-06-06 14:17:39,2026-06-06 11:31:02,6746572.0,,,,,,,,"Д. Спасское, ЖК «Живописный» Видное",1.0,0,,,,,,8.0,,,middle,0,0,,,0,,unknown,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,unknown,unknown,,unknown,unknown,0,0,0,0,0,0,0,,0,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,19,missing,missing,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"д. спасское, жк «живописный» видное","д. спасское, жк «живописный» видное",unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
missing_coordinates; coordinates_out_of_bbox,avito,8197365444,https://www.avito.ru/dmitrov/kvartiry/1-k._kvartira_37_m_69_et._8197365444?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVExFWHM4NUZMdlg5TlpnIjt9ES3e-z8AAAA,2026-06-06 15:55:29,2026-06-06 11:33:04,5250000.0,141891.8918918919,,,,,,,",",1.0,0,37.0,7.8,,0.2108108108108108,,6.0,,,middle,0,0,,,0,,panel,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,unknown,unknown,,unknown,unknown,0,0,0,0,0,0,0,,0,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,255,41,missing,missing,description,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,unknown,unknown,unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
missing_coordinates; coordinates_out_of_bbox,avito,8197209847,https://www.avito.ru/lesnoy_gorodok/kvartiry/1-k._kvartira_311_m_1314_et._8197209847?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKVFJWbUdjOUtKNzRJTVFzIjt9VfDgdj8AAAA,2026-06-06 17:04:42,2026-06-06 11:34:30,6650000.0,213826.36655948556,,,,,,,"Берёзовая ул., 6 пгт. ВНИИССОК",1.0,0,31.1,7.8,,0.2508038585209003,,,,,unknown,0,0,,,0,,unknown,flat,unknown,unknown,,unknown,unknown,unknown,none,,0,unknown,unknown,,unknown,unknown,0,0,0,0,0,0,0,,0,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,general,0,0,0,0,0,0,0,0,1,general,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,40,missing,missing,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"березовая ул., 6 пгт. внииссок",березовая ул.,unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
missing_coordinates; coordinates_out_of_bbox,avito,8223348323,https://www.avito.ru/dzerzhinskiy/kvartiry/1-k._kvartira_47_m_1121_et._8223348323?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTa1hmWEZtTE0xOU5ENk0yIjt9_7OrTD8AAAA,2026-06-06 17:29:38,2026-06-06 11:35:02,8990000.0,191277.0,,,,,,,"Угрешская ул., 32 Дзержинский",1.0,0,47.0,17.0,24.0,0.3617021276595745,0.5106382978723404,11.0,21.0,0.5238095238095238,middle,0,0,2016.0,10.0,0,,monolith,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,cosmetic,unknown,,free_sale,combined,1,0,1,1,1,2,1,,0,,0.0,1.0,loggia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,381,48,existing,missing,existing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"угрешская ул., 32 дзержинский",угрешская ул.,unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
missing_total_area; missing_coordinates; coordinates_out_of_bbox,avito,7980143034,https://www.avito.ru/balashiha/kvartiry/1-k._kvartira_301_m_15_et._7980143034?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTa1hmWEZtTE0xOU5ENk0yIjt9_7OrTD8AAAA,2026-06-06 17:49:35,2026-06-06 11:35:02,4700000.0,,,,,,,,"Пионерская ул., 3 Балашиха",1.0,0,,,,,,,,,unknown,0,0,1970.0,56.0,0,,panel,flat,unknown,unknown,,gas,unknown,unknown,unknown,,0,unknown,unknown,,unknown,combined,1,0,1,0,0,0,0,,0,,0.0,0.0,none,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,storage,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,36,missing,missing,description,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"пионерская ул., 3 балашиха",пионерская ул.,unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
missing_total_area; missing_coordinates; coordinates_out_of_bbox,avito,7562062861,https://www.avito.ru/aprelevka/kvartiry/1-k._kvartira_478_m_514_et._7562062861?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTa1hmWEZtTE0xOU5ENk0yIjt9_7OrTD8AAAA,2026-06-06 17:58:33,2026-06-06 11:35:02,10500000.0,,,,,,,,"ул. Цветочная Аллея, 9 Апрелевка",1.0,0,,,,,,,,,unknown,0,0,,,0,,unknown,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,designer,unknown,,unknown,unknown,0,0,0,0,0,0,0,,0,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,storage,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,33,description,missing,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"ул. цветочная аллея, 9 апрелевка",ул. цветочная аллея,unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
missing_total_area; missing_coordinates; coordinates_out_of_bbox,avito,7987888588,https://www.avito.ru/lyubertsy/kvartiry/1-k._kvartira_373_m_817_et._7987888588?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJaSTJMS0lienVsRkJmNElRIjt9_3rf2D8AAAA,2026-06-07 11:17:27,2026-06-06 11:39:11,8250000.0,,,,,,,,"мкр-н Зенино ЖК Самолёт, Вертолётная ул., 42 Люберцы",1.0,0,,,,,,8.0,,,middle,0,0,2018.0,8.0,0,,monolith,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,euro,unknown,,unknown,combined,1,0,1,0,0,0,0,,0,,0.0,0.0,none,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,36,description,missing,description,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"мкр-н зенино жк самолет, вертолетная ул., 42 люберцы","мкр-н зенино жк самолет, вертолетная ул.",unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
price_too_low,avito,8125064404,https://www.avito.ru/kashira/kvartiry/dolya_2-k._kvartira_535_m_25_et._8125064404?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtVHN0ZnR5YlhwNGxnOVpvIjt9b-OXfD8AAAA,2026-06-07 16:17:43,2026-06-06 11:51:42,600000.0,11215.0,54.83919907,38.18960953,,,,,"Московская обл., Кашира, ул. Металлургов, 1к3",2.0,0,53.5,9.0,37.5,0.1682242990654205,0.7009345794392523,2.0,5.0,0.4,middle,0,0,,,0,2.5,panel,share,unknown,unknown,,unknown,unknown,unknown,unknown,,1,cosmetic,unknown,,free_sale,separate,0,1,1,0,0,0,0,,0,,0.0,1.0,loggia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,43,existing,missing,existing,existing,0.0,,0.0,28.0,225.7,1.0,2.0,178.4,1.0,2.0,95.1,1.0,3.0,242.3,1.0,3.0,181.3,1.0,13.0,173.2,1.0,5.0,245.6,1.0,1.0,365.5,1.0,0.0,,0.0,57.0,82.5,0.0,3.367295829986474,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.3862943611198906,2.6390573296152584,1.791759469228055,0.6931471805599453,0.0,4.060443010546419,1,1000.0,"московская обл., кашира, ул. металлургов, 1к3","московская обл., кашира, ул. металлургов",unknown,unknown,unknown,2741_1909,5483_3818,10967_7637,27419_19094
missing_coordinates; coordinates_out_of_bbox,avito,7780685425,https://www.avito.ru/kashira/kvartiry/2-k._kvartira_487_m_29_et._7780685425?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoYXZ1aXR4SE9oUXQyeXR4Ijt9mHNIMz8AAAA,2026-06-07 18:10:55,2026-06-06 12:03:15,5600000.0,114990.0,,,,,,,"Садовая ул., 24к2 Кашира",2.0,0,48.7,9.0,29.0,0.1848049281314168,0.595482546201232,2.0,9.0,0.2222222222222222,low,0,0,,,0,2.6,brick,flat,unknown,unknown,,electric,unknown,unknown,unknown,,0,cosmetic,unknown,,free_sale,combined,1,0,1,1,0,1,1,,0,,0.0,1.0,loggia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,kitchen|sleeping,0,0,0,0,0,0,0,0,0,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1012,140,existing,missing,existing,existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"садовая ул., 24к2 кашира",садовая ул.,unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
missing_coordinates; coordinates_out_of_bbox,avito,7942699802,https://www.avito.ru/pushkino/kvartiry/3-k._kvartira_505_m_39_et._7942699802?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDckdibHV2RHhydE9wOFdwIjt94qCp-j8AAAA,2026-06-08 11:49:43,2026-06-06 12:10:12,6490000.0,128515.0,,,,,,,"Мкр-н Дзержинец, 28 Пушкино",3.0,0,50.5,7.0,40.0,0.1386138613861386,0.7920792079207921,3.0,9.0,0.3333333333333333,middle,0,0,1981.0,45.0,0,,panel,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,no_repair,unknown,,free_sale,separate,0,1,1,1,0,1,1,,0,,0.0,1.0,loggia,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,578,76,existing,missing,existing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"мкр-н дзержинец, 28 пушкино",мкр-н дзержинец,unknown,unknown,unknown,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>,<NA>_<NA>
