row_index,split
0,train
1,train
2,train
3,valid
4,train
5,train
6,train
7,valid
8,test
9,train
10,train
11,train
12,test
13,train
14,test
15,test
16,valid
17,test
18,train
19,train
20,train
21,train
22,train
23,test
24,train
25,train
26,train
27,valid
28,train
29,test
30,test
31,train
32,valid
33,test
34,train
35,train
36,valid
37,test
38,train
39,train
40,valid
41,train
42,valid
43,train
44,test
45,train
46,train
47,test
48,train
49,train
50,valid
51,train
52,train
53,train
54,train
55,train
56,train
57,train
58,valid
59,train
60,train
61,train
62,train
63,test
64,train
65,test
66,valid
67,valid
68,train
69,test
70,train
71,test
72,train
73,train
74,train
75,train
76,train
77,train
78,valid
79,test
80,test
81,train
82,valid
83,train
84,test
85,train
86,train
87,train
88,test
89,train
90,test
91,train
92,train
93,test
94,train
95,valid
96,valid
97,train
98,train
99,valid
100,test
101,test
102,test
103,train
104,train
105,train
106,test
107,test
108,valid
109,test
110,test
111,valid
112,train
113,train
114,train
115,train
116,valid
117,train
118,train
119,train
120,train
121,test
122,train
123,train
124,test
125,valid
126,train
127,train
128,train
129,train
130,train
131,train
132,test
133,train
134,train
135,test
136,valid
137,train
138,train
139,train
140,train
141,train
142,test
143,valid
144,test
145,train
146,train
147,train
148,train
149,test
150,valid
151,test
152,valid
153,valid
154,train
155,valid
156,test
157,test
158,train
159,valid
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,test
168,test
169,train
170,train
171,train
172,train
173,train
174,train
175,valid
176,train
177,test
178,valid
179,test
180,valid
181,test
182,train
183,test
184,train
185,test
186,train
187,train
188,train
189,train
190,train
191,train
192,valid
193,train
194,valid
195,train
196,train
197,train
198,test
199,test
200,valid
201,train
202,train
203,valid
204,train
205,train
206,train
207,valid
208,test
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,test
222,train
223,valid
224,train
225,train
226,train
227,test
228,test
229,train
230,test
231,train
232,valid
233,test
234,valid
235,train
236,train
237,train
238,train
239,test
240,test
241,train
242,train
243,train
244,valid
245,test
246,train
247,test
248,test
249,train
250,train
251,test
252,valid
253,train
254,test
255,train
256,train
257,valid
258,train
259,test
260,train
