price_rub,lat,lon,total_area_m2,rooms,floor_ratio,house_year,housing_market,property_format,source,address_exact,residential_complex
6135245.0,55.89999,37.2542,37.6,1.0,0.3333333333333333,,new_building,flat,avito,"д. юрлово, д. 5",жк «большое юрлово»
7625453.0,55.51879,37.07037,35.8,1.0,0.3333333333333333,,new_building,flat,avito,"д. мартемьяново, стр. 2",мартемьяново клаб
11917136.0,55.56632,37.68656,34.0,1.0,0.4583333333333333,,unknown,flat,avito,"ул. старо-нагорная, д. 31",жк 1-й южный
13408649.0,55.60552,37.41724,34.9,1.0,0.21428571428571427,,new_building,flat,avito,"п. сосенское, стр. 57",саларьево парк
5990000.0,55.52786,37.04111,32.4,1.0,0.4,,unknown,flat,avito,"ул. парк апрель, стр. 2",жк «апрелевка клаб»
7719750.0,55.82056,37.21042,34.3,1.0,0.9285714285714286,,new_building,flat,avito,"ул. береговая, стр. 1.1",жк «аникеевский»
11044800.0,55.56792,37.29124,39.0,1.0,0.5625,,new_building,flat,avito,"пос. филимонковское, ул. оао марьинская птицефабрика, корп. 2.1.6",середневский лес
7955037.0,55.53213,37.61686,42.2,1.0,0.11764705882352941,,unknown,flat,avito,"с/п булатниковское, рп боброво, ул. лесная, д. 22, корп. 2",восточное бутово
8200000.0,55.59435,37.20972,40.1,1.0,0.7368421052631579,,unknown,flat,avito,"дер. марушкино, стр. 2",жк «внуково парк»
17248103.0,55.80633,37.3826,34.7,1.0,0.7916666666666666,,new_building,flat,avito,"д. мякинино, стр. 3",жк «квартал строгино»
11600000.0,55.59133,37.48273,32.6,1.0,0.23529411764705882,,new_building,flat,avito,"п. сосенское, пос. газопровод, стр.",жк «форевиль»
5636400.0,56.07982,37.06055,40.3,1.0,0.17647058823529413,2027.0,new_building,flat,avito,"ул. школьная, стр. 13",жк «поварово молодежный - 2»
7923600.0,55.52237,37.61232,37.2,1.0,0.08,,new_building,flat,avito,"с/п булатниковское, д. боброво, мкр. «боброво», корп. 55",восточное бутово
6863700.0,55.60116,38.08297,41.1,1.0,0.1111111111111111,,new_building,flat,avito,"ул. гудкова, стр. 3",жк «гранд комфорт»
