row_index,source,housing_market,property_format,price_rub,total_area_m2,rooms,address_exact,residential_complex
1859,avito,new_building,flat,48124000.0,121.6,3.0,"п. первомайское, д. рогозинино, д. 7",внуково кантри клаб
1939,avito,new_building,flat,49136000.0,124.6,3.0,"п. первомайское, д. рогозинино, д. 7",внуково кантри клаб
2644,avito,new_building,flat,40703729.0,87.4,3.0,"б-р мещерский, стр. 6.1",жк «резиденции сколково»
2749,avito,new_building,flat,62085000.0,139.9,4.0,"п. первомайское, д. рогозинино, д. 9",внуково кантри клаб
2760,avito,new_building,flat,60259000.0,156.0,4.0,"п. первомайское, д. рогозинино, д. 7",внуково кантри клаб
2776,avito,new_building,flat,61689379.0,118.4,4.0,"п. свх заречье, ул. торговая, д. 9",жк «skolkovo one» (сколково ван)
2778,avito,new_building,flat,63179000.0,141.4,4.0,"п. первомайское, д. рогозинино, д. 9",внуково кантри клаб
2804,avito,new_building,flat,44323743.0,144.3,4.0,"д. ликино, стр. 1",жк «мыс»
2830,avito,new_building,flat,63736000.0,141.4,4.0,"п. первомайское, д. рогозинино, д. 9",внуково кантри клаб
2846,avito,unknown,flat,55909502.0,113.2,4.0,"п. свх заречье, ул. торговая, д. 5",жк «skolkovo one» (сколково ван)
2848,avito,unknown,flat,120000000.0,231.2,4.0,"московская обл., одинцовский г.о., д. жуковка, 58",unknown
2855,avito,unknown,flat,49000000.0,158.4,4.0,"московская обл., одинцовский г.о., пгт. заречье, тихая ул., 21",unknown
2935,avito,unknown,flat,41999990.0,130.0,4.0,"московская обл., одинцовский г.о., пгт. заречье, тихая ул., 26к3",unknown
2978,avito,new_building,flat,51465273.0,165.4,4.0,"д. ликино, стр. 1",жк «мыс»
2982,avito,unknown,flat,60000000.0,140.0,4.0,"московская обл., одинцовский г.о., рп. заречье, сосновая ул., 1ак2",unknown
2987,avito,unknown,flat,77500000.0,120.0,4.0,"московская обл., одинцовский г.о., пгт. заречье, весенняя ул., 1с6",unknown
3015,avito,unknown,flat,42000000.0,179.0,4.0,"московская обл., одинцовский г.о., д. лапино, кп новое лапино, 54к2",unknown
3059,avito,unknown,flat,49500000.0,198.0,4.0,"москва, новомосковский административный округ, р-н коммунарка, николо-хованская ул., 16к1",unknown
3067,avito,new_building,flat,47156967.0,141.6,4.0,"д. ликино, стр. 1",жк «мыс»
3079,avito,new_building,flat,43035595.0,156.6,4.0,"д. ликино, стр. 2",жк «мыс»
3091,avito,new_building,flat,58893296.0,136.6,4.0,"д. ликино, стр. 10",жк «мыс»
3135,avito,new_building,flat,45741120.0,153.7,4.0,"д. ликино, стр. 1",жк «мыс»
3137,avito,unknown,flat,40500000.0,180.0,4.0,"московская обл., красногорск, павшинский б-р, 26",unknown
3143,avito,new_building,flat,87030560.0,203.2,4.0,"д. ликино, стр. 10",жк «мыс»
3149,avito,new_building,flat,48314448.0,147.5,4.0,"д. ликино, стр. 2",жк «мыс»
3196,avito,unknown,flat,76500000.0,255.0,4.0,"московская обл., одинцовский г.о., рп. заречье, тихая ул., 1к2",unknown
3227,avito,new_building,flat,52693644.0,161.3,4.0,"д. ликино, стр. 2",жк «мыс»
3231,avito,new_building,flat,45425664.0,135.7,4.0,"д. ликино, стр. 1",жк «мыс»
3251,avito,new_building,flat,48774600.0,154.8,4.0,"д. ликино, стр. 2",жк «мыс»
3262,avito,new_building,flat,45927666.0,153.8,4.0,"д. ликино, стр. 1",жк «мыс»
3272,avito,unknown,flat,46000000.0,140.0,4.0,"московская обл., г.о. красногорск, с. ангелово, жк ангелово-резиденц, 39",unknown
3273,avito,unknown,flat,42500000.0,170.3,4.0,"московская обл., одинцовский г.о., одинцово, северная ул., 57",unknown
3277,avito,new_building,flat,46494558.0,138.1,4.0,"д. ликино, стр. 2",жк «мыс»
3278,avito,new_building,flat,41655259.0,140.9,4.0,"д. ликино, стр. 1",жк «мыс»
3296,avito,unknown,flat,145000000.0,141.0,4.0,"московская обл., одинцовский г.о., рп. заречье, весенняя ул., 2к6",unknown
3306,avito,new_building,flat,45893920.0,153.8,4.0,"д. ликино, стр. 1",жк «мыс»
3324,avito,unknown,flat,148000000.0,173.0,4.0,"московская обл., одинцовский г.о., д. барвиха, рублево-успенское шоссе, 8-й километр, 117",unknown
3340,avito,unknown,flat,46000000.0,111.0,4.0,"московская обл., химки, мкр-н новогорск, заречная ул., 6к1",unknown
3346,avito,unknown,flat,75000000.0,193.0,4.0,"московская обл., одинцовский г.о., пгт. заречье, сосновая ул., 10",unknown
3372,avito,unknown,flat,75000000.0,193.0,4.0,"московская обл., одинцовский г.о., рп. заречье, сосновая ул., 10",unknown
3389,avito,unknown,flat,43000000.0,144.0,4.0,"московская обл., реутов, новая ул., 6",unknown
3408,avito,unknown,flat,45000000.0,145.0,4.0,"москва, новомосковский административный округ, р-н коммунарка, д. сосенки, ясеневая ул., 1к1",unknown
3427,avito,unknown,flat,49699999.0,124.6,4.0,"московская обл., мытищи, летная ул., 21/2",unknown
3436,avito,unknown,flat,69900000.0,130.0,4.0,"московская обл., красногорск, ул. согласия, 11/1",unknown
