number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_ctr_complexity,params_min_data_in_leaf,params_one_hot_max_size,params_random_strength,params_subsample,user_attrs_best_iteration,user_attrs_mae_rub,user_attrs_mape_pct,user_attrs_median_ae_rub,user_attrs_r2,user_attrs_rmse_rub,state
0,1519984.70142783,2026-06-13 16:22:29.119996,2026-06-13 16:22:57.494703,0 days 00:00:28.374707,,MVS,175,8,462,7.6611007077713635,0.061652988679205906,1,31,3,0.46805592132730955,0.9329770563201687,458,1519984.70142783,11.61163930493733,668600.2808909756,0.8268686251047717,4698616.019549642,COMPLETE
1,2266796.9922897397,2026-06-13 16:22:57.495077,2026-06-13 16:23:05.878527,0 days 00:00:08.383450,,MVS,142,4,348,2.8145092716060645,0.015773450508938663,1,7,7,1.5742692948967134,0.9140703845572055,347,2266796.9922897397,17.586949566444567,1033985.7693828419,0.6907722385408099,6279445.627989102,COMPLETE
2,1716894.1817696916,2026-06-13 16:23:05.878832,2026-06-13 16:23:18.820626,0 days 00:00:12.941794,3.4211651325607844,Bayesian,186,6,339,1.1711509955524093,0.043583559109257056,1,49,3,1.822634555704315,,336,1716894.1817696916,13.690647613348386,806805.2842281596,0.809310451328885,4931119.320873013,COMPLETE
3,1745144.8596518754,2026-06-13 16:23:18.820902,2026-06-13 16:23:30.128819,0 days 00:00:11.307917,,MVS,104,4,508,1.1240768803005543,0.03422832404469147,1,27,14,2.7279612062363463,0.9100531293444458,507,1745144.8596518754,13.571226596064504,805387.1654900494,0.8158655628087499,4845622.479893264,COMPLETE
4,1524227.1343516815,2026-06-13 16:23:30.129092,2026-06-13 16:24:18.752310,0 days 00:00:48.623218,,Bernoulli,105,8,858,22.99958642814373,0.044181702211223,1,20,2,0.2654775061557585,0.7123738038749523,857,1524227.1343516815,11.82406991946332,703446.104528727,0.8355123289103787,4579823.50726728,COMPLETE
5,1520561.302920183,2026-06-13 16:24:18.752608,2026-06-13 16:24:33.296622,0 days 00:00:14.544014,,MVS,64,4,580,1.2886065671894003,0.07340335954270466,2,41,5,2.960660809801552,0.6296178606936361,576,1520561.302920183,11.739054453805704,699564.6167601552,0.8321366472248604,4626579.3238094775,COMPLETE
6,1618955.9567453535,2026-06-13 16:24:33.296902,2026-06-13 16:24:43.932551,0 days 00:00:10.635649,,Bernoulli,105,4,451,8.330803890301997,0.08539747515323926,1,37,7,0.9926940745579476,0.6478376983753207,450,1618955.9567453535,12.481335674803704,721935.1287840451,0.8246628128289532,4728453.077047669,COMPLETE
7,1506542.8436540465,2026-06-13 16:24:43.932810,2026-06-13 16:25:14.772606,0 days 00:00:30.839796,,Bernoulli,67,7,699,13.766134492174427,0.04033850749129072,2,6,10,1.4813867890931722,0.8034282764658811,698,1506542.8436540465,11.946701530074858,674032.906765854,0.8427840011954272,4477446.813366459,COMPLETE
8,1671207.7709209854,2026-06-13 16:25:14.772891,2026-06-13 16:25:36.623234,0 days 00:00:21.850343,,MVS,84,5,836,13.062931388340921,0.02772538300046121,1,47,7,0.6863944964748674,0.9214688307596458,834,1671207.7709209854,12.845944376825324,743908.9041171903,0.8173968226802151,4825432.346500786,COMPLETE
9,1853573.1960335749,2026-06-13 16:25:36.623515,2026-06-13 16:25:53.297387,0 days 00:00:16.673872,,Bernoulli,93,8,330,15.584289782385463,0.03819865159547762,1,22,4,2.6882738997704796,0.8042989210310263,329,1853573.1960335749,14.305248869356099,842509.768107574,0.7796845866300296,5300349.4927317435,COMPLETE
10,2004708.1823724373,2026-06-13 16:25:53.297654,2026-06-13 16:26:17.350241,0 days 00:00:24.052587,0.14239145569985778,Bayesian,144,6,698,3.253425182484385,0.010189313519936013,2,3,20,1.9555996523345356,,697,2004708.1823724373,15.562125887470495,928155.378740496,0.7505663346009231,5639746.721097293,COMPLETE
11,1581182.178483614,2026-06-13 16:26:17.350547,2026-06-13 16:26:27.945534,0 days 00:00:10.594987,,Bernoulli,178,7,212,6.100718398574426,0.11632421339878839,2,12,11,1.1315853624128627,0.9994694932752822,210,1581182.178483614,12.325283319773519,715783.7850662351,0.8337268088779325,4604613.495443429,COMPLETE
12,1430887.591372383,2026-06-13 16:26:27.945819,2026-06-13 16:27:01.291048,0 days 00:00:33.345229,,MVS,136,7,696,6.513269357155905,0.0649567373430995,2,30,13,0.05961621278998175,0.7987586652315627,695,1430887.591372383,11.051626468229461,622110.7159337886,0.8307146652474761,4646134.034244159,COMPLETE
13,1739953.9670362982,2026-06-13 16:27:01.291328,2026-06-13 16:27:34.517239,0 days 00:00:33.225911,,Bernoulli,135,7,696,28.195727148587377,0.023333375543367396,2,15,13,0.037145439915074574,0.8068377246385271,695,1739953.9670362982,13.353794211449657,735265.9520059777,0.7991949251278214,5060220.110382235,COMPLETE
14,1494994.3250531016,2026-06-13 16:27:34.517530,2026-06-13 16:28:07.212162,0 days 00:00:32.694632,4.817000615838832,Bayesian,127,7,719,4.465493259257653,0.058938198754657084,2,1,17,2.150183289934027,,716,1494994.3250531016,12.250664208415921,665029.2658968843,0.8273903179217749,4691531.562506205,COMPLETE
15,1534549.1934352284,2026-06-13 16:28:07.212450,2026-06-13 16:28:38.658749,0 days 00:00:31.446299,4.659084100735002,Bayesian,130,6,780,3.976308733201349,0.05957968279203433,2,33,18,2.252991708037577,,779,1534549.1934352284,12.461254232145878,712355.009495053,0.8328780501565678,4616350.89900527,COMPLETE
16,1415403.2846215416,2026-06-13 16:28:38.659044,2026-06-13 16:29:08.468294,0 days 00:00:29.809250,1.7008877773277957,Bayesian,154,7,616,2.133920876637657,0.1191256492987059,2,23,15,2.30813654846792,,614,1415403.2846215416,11.285862678431693,602489.0731910281,0.8350409982394035,4586380.433805954,COMPLETE
17,1419069.3093297502,2026-06-13 16:29:08.468603,2026-06-13 16:29:32.730755,0 days 00:00:24.262152,0.6118318320386582,Bayesian,162,6,614,2.1743256205556434,0.10560115247837362,2,23,15,0.8202059713050016,,613,1419069.3093297502,10.961498926284557,609433.5286733671,0.8422059463820163,4485670.642273309,COMPLETE
18,1476637.1063327217,2026-06-13 16:29:32.731056,2026-06-13 16:29:52.561689,0 days 00:00:19.830633,0.8944215598444563,Bayesian,159,5,581,2.0554150699310636,0.10724044328828437,2,23,16,0.9981739525828924,,579,1476637.1063327217,11.098135879403877,626753.0779855049,0.8266983353985206,4700926.199580976,COMPLETE
19,1490510.1139256442,2026-06-13 16:29:52.561967,2026-06-13 16:30:11.588145,0 days 00:00:19.026178,1.8996513844350493,Bayesian,159,5,602,1.9768564885734492,0.0909208712565174,2,17,15,2.4448061846206413,,601,1490510.1139256442,11.876874422250031,679290.3569089179,0.8414125142416145,4496934.097348777,COMPLETE
20,1443337.3960392384,2026-06-13 16:30:11.588432,2026-06-13 16:30:35.227576,0 days 00:00:23.639144,1.3954978235398472,Bayesian,159,6,619,1.8982026393400342,0.11725690551638818,2,11,20,1.3962734982768672,,618,1443337.3960392384,11.07940713272288,598467.7119251799,0.8398171038138563,4519497.358654679,COMPLETE
21,1419757.2170338575,2026-06-13 16:30:35.227909,2026-06-13 16:31:13.807262,0 days 00:00:38.579353,2.541782700100692,Bayesian,119,7,786,2.646877060834511,0.07798563591153441,2,27,11,0.6574209106814247,,785,1419757.2170338575,11.464966983865436,614502.1896646698,0.837367966997478,4553917.007418926,COMPLETE
22,1466864.718887349,2026-06-13 16:31:13.807560,2026-06-13 16:31:44.482697,0 days 00:00:30.675137,2.2643841153505635,Bayesian,120,6,765,1.612380697028713,0.09059472267649074,2,25,11,0.8050805112309101,,763,1466864.718887349,11.557826839536089,615803.7259015925,0.8399068528290613,4518231.064689781,COMPLETE
23,1481855.6893139107,2026-06-13 16:31:44.483006,2026-06-13 16:32:07.308584,0 days 00:00:22.825578,2.793644003515996,Bayesian,150,7,509,2.726485909228335,0.07739401970776469,2,18,10,0.5348630908944325,,508,1481855.6893139107,11.85478277470375,648982.6284409068,0.8292623713588175,4666020.99626817,COMPLETE
24,1430656.426424156,2026-06-13 16:32:07.308864,2026-06-13 16:32:45.153990,0 days 00:00:37.845126,0.4605776046131276,Bayesian,167,8,652,2.3915351006459775,0.0928856545533191,2,36,12,1.3214593963777155,,651,1430656.426424156,11.002424858430402,569673.6041044956,0.8183894521526891,4812298.967314577,COMPLETE
